,id,Recipient (video or comment),comment
1,Ugx9_uzJlYnUSFwem4J4AaABAg,te57eTi1mS4,Díganme que no entendieron nada porque yo no
2,UgyVLjEMkeVAvErlXjp4AaABAg,te57eTi1mS4,ROMULO ERES MUY MALO CON TU HERMANO
3,UgzEM_tdhhiDjwpR_WV4AaABAg,te57eTi1mS4,jajajjaa
4,UgyBXK3i7Owy2tqVMBN4AaABAg,te57eTi1mS4,me traume :)
5,UgwFZ2PMHkHPn5KZSGZ4AaABAg,te57eTi1mS4,Parece south park lol.
6,UgyYRfZee7RVqGtLVZV4AaABAg,te57eTi1mS4,"Qué buen vídeo para la gente a la que le interesa el vídeo le entiende perfectamente pero a la gente que no le importa ni por tanto no le entiende ni por un comino, gracias por el vídeo me ha servido de mucha ayuda  emoji_face_with_tears_of_joy "
7,Ugw92nd7vdl-Z8Sff_l4AaABAg,te57eTi1mS4,Copywright usaste le Canción de star wars
8,UggcKVv1Atoex3gCoAEC,te57eTi1mS4,iuhnhinunhuiiuhnhnunuhiuh iuh niuhuinu  / pero sera hijo de tiiiiiiiiiiiiiiiiiiiiiiiiiiit/
9,UggxuAcYatjZPngCoAEC,te57eTi1mS4,Como e acabado aqui?
10,Ugg7PNA4zgR_X3gCoAEC,te57eTi1mS4,para eso veo mis videos mejor  emoji_beaming_face_with_smiling_eyes  emoji_beaming_face_with_smiling_eyes  emoji_beaming_face_with_smiling_eyes  emoji_beaming_face_with_smiling_eyes  emoji_smiling_face_with_halo  emoji_smiling_face_with_halo  emoji_smiling_face_with_halo  emoji_smiling_face_with_halo  emoji_smiling_face_with_halo  emoji_smiling_face_with_halo  emoji_smiling_face_with_halo  emoji_face_with_tongue  emoji_face_with_tongue  emoji_face_with_tongue  emoji_face_with_tongue  emoji_face_with_tongue  emoji_face_with_tongue  emoji_grinning_squinting_face  emoji_grinning_squinting_face  emoji_smiling_face_with_sunglasses  emoji_smiling_face_with_sunglasses  emoji_smiling_face_with_sunglasses 
11,Ugix9qU0zUsn2XgCoAEC,te57eTi1mS4,no entendí ni una mieda
12,Ugi0PU7kweg_wXgCoAEC,te57eTi1mS4,vale mierda este video andate vales kaka
13,UgjBPNP9TvBsf3gCoAEC,te57eTi1mS4,que mierda no entendí nada.
14,Ugjj9iEyg2XpqXgCoAEC,te57eTi1mS4,"Muy buen vídeo... Por desgracia le di dislike, pero fue sin intención, bueno, más o menos. :v"
15,Ugjj9iEyg2XpqXgCoAEC.8A-pvN29tOx9Jq7boP1IJ4,Ugjj9iEyg2XpqXgCoAEC,:V
16,UgjGoHKK3RIvKXgCoAEC,te57eTi1mS4,es una puta mierda de video una puta mierda jajajajajajjajjaja
17,UgjGoHKK3RIvKXgCoAEC.86fUHgctpq68eZBJoWhbUi,UgjGoHKK3RIvKXgCoAEC,Idiotas
18,UgjGoHKK3RIvKXgCoAEC.86fUHgctpq6871dQYTx2hx,UgjGoHKK3RIvKXgCoAEC,no no es una puta mierda una reputa remierda  emoji_face_with_tears_of_joy 
19,UghVZAS1OqNYvXgCoAEC,te57eTi1mS4,Osea usaron audios de una parodia de Dragon Ball Z dejate de joder
20,Ugis4eU1ZL2lb3gCoAEC,te57eTi1mS4,remulo fue malo al matar a su hermano
