,id,Recipient (video or comment),comment
1,UgzRcIXcej9NHZMtb1N4AaABAg,Gt90WTWxwLU,Bro this channel sucks
2,UgyVqZqafi5ulPyPfzp4AaABAg,Gt90WTWxwLU,"This was interesting, on of the first times i enjoyed listening to history"
3,UgyVqZqafi5ulPyPfzp4AaABAg.9g2Qhwxy8iU9gS02pS9iSF,UgyVqZqafi5ulPyPfzp4AaABAg,Glad you liked the video!
4,Ugzol_gh_nPybAy34TB4AaABAg,Gt90WTWxwLU,Bro this channel is underrated asf
5,UgxpniP6caX1kFFy_XJ4AaABAg,Gt90WTWxwLU,We still talking about rome? Sweet!
6,UgwzuNZ8w96a8jJrHm54AaABAg,pVdUGeiVzl8,Such a classic
7,UgwtPvgzOdv-apk9OcJ4AaABAg,pVdUGeiVzl8,Oof I thought it was a real movie so I skipped then saw it wasn’t lol imma watch it
8,UgyhaCW0KbDixGWiARZ4AaABAg,pVdUGeiVzl8,It was rly good
9,UgxnRRmGPeVX82J0ekJ4AaABAg,pVdUGeiVzl8,Bro I was laughing so freaking hard watching this
10,UgynASuwctghwKH7Zx94AaABAg,pVdUGeiVzl8,"Bro, their mom's a wolf"
11,UgwjshSPRL7sB6C4gxB4AaABAg,pVdUGeiVzl8,That moment when their moms a wolf.....
12,Ugxx9ydBRo9ipPzeuR54AaABAg,pVdUGeiVzl8,Um..........Weston
13,UgzsVbNkbPFG5tfszvV4AaABAg,pVdUGeiVzl8,This was so good I had to watch it a second time
14,UgxGdKF52BuT5k7Ox6J4AaABAg,pVdUGeiVzl8,Lol
15,Ugw3J1DsAeaUXc5tMud4AaABAg,pVdUGeiVzl8,Yes
16,UgyNDSveBBTgqMIHL7J4AaABAg,pVdUGeiVzl8,their moms a wolf
17,Ugx2-c4T9IzslfRQ1U94AaABAg,plO_4SDS7Y0,"Keep it up, great video. You ever think of using smzeus(dot)com??! Lots of YouTubers are using it to grow their channels."
18,Ugx2-c4T9IzslfRQ1U94AaABAg.8yfYjgIyXrN8yhAehsxuKG,Ugx2-c4T9IzslfRQ1U94AaABAg,"I'm not really trying to have a ""channel"".. Mostly watching everyone else.. But saw this and thought it had to be posted."
19,UgxgHBVjWDLCVIq42pp4AaABAg,4UyIpwRorsI,"Gar nicht schlecht, nur ist die Tonqualität nicht so toll...."
20,UgxgHBVjWDLCVIq42pp4AaABAg.9PBDmzuFBo19RVaB_Td3DC,UgxgHBVjWDLCVIq42pp4AaABAg,Danke. Das war mein erstes Video. Der Ton hätte lauter sein können. Bei den anderen ist es besser geworden.
21,UgygwJkeR51F0ah4fyl4AaABAg,4UyIpwRorsI,Voll gut geworden Tobias  emoji_thumbs_up 
22,UgygwJkeR51F0ah4fyl4AaABAg.9KLnE3eTtsI9KM11km5RqF,UgygwJkeR51F0ah4fyl4AaABAg,Danke!
23,UgxGRjrWBan66Rrh1r14AaABAg,1pMfKXl5CC8,I learn this at school
24,Ugw3_LKu7erx5J9dWqt4AaABAg,1pMfKXl5CC8,nice story. Amen.
25,UgxoZWsYlF4u1wdAn6h4AaABAg,KQCPwuqixBw,sino po yung reyna at yung pangalan ng Dalawang lalaking kapatid ni rhea?
26,UgxyCp9T9YgWPnOiR994AaABAg,KQCPwuqixBw,Hi po ask kolng kung buod po ba ito or buong kwento?
27,UgxyCp9T9YgWPnOiR994AaABAg.9fme3NJY4kw9frOPLOlpJq,UgxyCp9T9YgWPnOiR994AaABAg,Buod na po ito...
28,Ugy5x8VGsnwbIUcml154AaABAg,KQCPwuqixBw,"Wow nice dai, ganahan ko maminaw nimo.."
29,UgyE-XuqavyZj8lh0Xl4AaABAg,hYXXvfgQD7o,"By the way this has little to do with mythology i repeat all temples, pyramids all around our small oasis on a giant wast planet stood until 6 years ago. Until four years the pantheon still had its god statues and firence was a beautifull place. Ever heard of the ships of the gods that sailed a lake and were a temple for the gods well as the colloseum(that was a theatre, no fights ever occoured there) stood all intact untill 5 years ago. Ihave to repeat that the invention of the vatican is only four years old and was never a reality. Only propagated by a shitty group of assholes that made shit movies and shat the  media full with lies. May the gods bewith you"
30,UgjaNDw4AnlVjngCoAEC,hYXXvfgQD7o,I have seen this at school
31,Ugg7EeBmspAoingCoAEC,hYXXvfgQD7o,not that Italian Rome but byzantine Constantine Rome
32,UgjrVbzNJWGMtHgCoAEC,hYXXvfgQD7o,Story of giant Ymir next?
33,UggBaR3wYv3oLXgCoAEC,hYXXvfgQD7o,Hey
34,UggBaR3wYv3oLXgCoAEC.8HCMTNkppoa8HCMU_7HdgQ,UggBaR3wYv3oLXgCoAEC,This is my real account
35,UgjO9WHCFvhE_ngCoAEC,hYXXvfgQD7o,Another freaking success! Well done!
36,UgjO9WHCFvhE_ngCoAEC.8HCM6S-xkrF8HEqNsy8RMb,UgjO9WHCFvhE_ngCoAEC,I agree! I would have her as my history teacher rather Than my teacher
37,UgjO9WHCFvhE_ngCoAEC.8HCM6S-xkrF8HCME5BuSme,UgjO9WHCFvhE_ngCoAEC,"Also, this is my dad's account, I'm going to be using my account more so I'm going to switch accounts and comment"
38,UgzdjRo7pWlCLhtFA9h4AaABAg,7tR10I_6YNA,What fight
39,UgjrNnItAiOPbXgCoAEC,8t-9IXtlvbc,High quality content.
40,UgxIPO1PfRQ32a7lqQ14AaABAg,9egCW5bUG4s,Thanks
41,Ugy0qctyhYnGICdPEBt4AaABAg,9egCW5bUG4s,Thanks emoji_folded_hands_light_skin_tone .
42,Ugz7QqamZ7KEs7EtvRJ4AaABAg,9egCW5bUG4s,Sus
43,UgzS9ia5NIXh1QwBsHx4AaABAg,jJhfGboppn4,brilliant. Can't wait for the next season
44,Ugwo6eeN1dFCVKAQgvd4AaABAg,jJhfGboppn4,grave bi1 continu ta chaine !
45,UgiFizTwjr4NuXgCoAEC,jJhfGboppn4,Gg  emoji_thumbs_up 
46,UgxlDO9XSvdgvPU69xV4AaABAg,H7Fw1zug85I,Loved it
