,id,Recipient (video or comment),comment
1,UgzgwwPfYFfVMRi_Tg14AaABAg,6bACEXl9x7U,I was looking for 'Horrible Histories' which is a riot...This really does sound like someone pinching their nose while speaking...
2,Ugwukay9pTEukQN9kjJ4AaABAg,6bACEXl9x7U,Articulate....
3,UgxZcGFE149JCajmz614AaABAg,6bACEXl9x7U,lknlkhnio
4,UgzNXWeEXqsAfO3RQkZ4AaABAg,6bACEXl9x7U,sound like cain and able
5,UgzW6R7l5B_JLnJRKGR4AaABAg,6bACEXl9x7U,OPTIME   OPTIME
6,UgynKeqfM6Tjj0Yz17R4AaABAg,bQkqxgbpb9k,"Sehr informativ, den Wolf finde ich super!"
7,UghLB60S_cRBW3gCoAEC,bQkqxgbpb9k,Wo ist der kampf zwischen romolus und remus ihr opfer
8,UgyP0RsuOr5ebbn6LMx4AaABAg,fZQrx0T47bM,"Delete it, cause it lag"
9,UgiDUzuktmt7FXgCoAEC,fZQrx0T47bM,u have so much healing powers how can ???
10,UgiDUzuktmt7FXgCoAEC.8TyD_dEYBEN8ULgumFk7c2,UgiDUzuktmt7FXgCoAEC,Will make success
11,Ugi_zgakkZwnE3gCoAEC,fZQrx0T47bM,wtf tiếng j thế?
12,Ugi_zgakkZwnE3gCoAEC.8QEbRD6PuTm9Z99cejW_hQ,Ugi_zgakkZwnE3gCoAEC,Bro là người việt à
13,Ugi_zgakkZwnE3gCoAEC.8QEbRD6PuTm8QF6OV8s91M,Ugi_zgakkZwnE3gCoAEC,DereK 469  emoji_face_with_tears_of_joy  mưa rơi xào sạc
