,id,Recipient (video or comment),comment
1,UgwV2a-VrNQe2wV9BfZ4AaABAg,qm-BlHAPS_8,my family of 3 includes myself be into the #soapMakingBusiness #thanks
2,UgxQzu3O2rPDUwvQ5Qt4AaABAg,qm-BlHAPS_8,This looks amazing! Great work!
3,Ugzhj1Hi1INIsjo_KCZ4AaABAg,qm-BlHAPS_8,"Buen trabajo ,me gustaría saber donde consigo ese molde tan fenomenal y la licuadora de inmersion"
4,Ugzhj1Hi1INIsjo_KCZ4AaABAg.9lK97UEH_dS9lKdjy7xMVk,Ugzhj1Hi1INIsjo_KCZ4AaABAg,They are linked in the description box :)
5,UgwAuemD5X_Mj9FRGSZ4AaABAg,qm-BlHAPS_8,At 6:50 the design on the soap looks like ocean waves... awesome.
6,UgzW4SIBuXhFYyTftCx4AaABAg,qm-BlHAPS_8,Beautiful!
7,UgxjpxBkWVq-pNcPix14AaABAg,qm-BlHAPS_8,Do you put your molds into the oven or let them sit room temperature  after pouring?
8,UgxjpxBkWVq-pNcPix14AaABAg.9kxQsjnl_k89kxR4MGpWLI,UgxjpxBkWVq-pNcPix14AaABAg,I used to put them in the oven but my food started to taste like chemicals so I stopped. Now I put a lid on it and cover with a towel on my counter :)
9,Ugw54bX-6tOerD-WbVl4AaABAg,qm-BlHAPS_8,"No hype no ""gotta have soap love"" phoney stuff. Just a great production.  emoji_sunrise  emoji_bathtub "
10,Ugyj5sW4V2F6qD7CiYp4AaABAg,qm-BlHAPS_8,So pretty!! And creative!!
11,UgzGehEZyaqb3XMblAF4AaABAg,qm-BlHAPS_8,What is the name of the white powder that you poured into jars?
12,Ugw4bJLak6ooQyHRRw94AaABAg,qm-BlHAPS_8,"I watch all your videos and I'm just gonna go out on a limb here and say if you were a cake decorator in a former life.  emoji_grinning_face_with_sweat I am a baker/cake decorator and I know you had to be at some point. I switched my attention to soap a few years ago but I am still a cake decorator for income. I really don't enjoy anything about it anymore and trying to get a soap business going. Been doing it way too long. You're videos are amazing, btw. I watch them just to chill myself out. Thank you so much for your channel. Much love to you."
13,UgyHjk8wdtbh2t3RTLN4AaABAg,qm-BlHAPS_8,I think you've done this a time or two before.
14,UgyDxG7F4nycJg10AJt4AaABAg,qm-BlHAPS_8,How do you keep your base liquid? Mine turns to pudding quickly and won't pour. Especially after sitting.
15,UgyDxG7F4nycJg10AJt4AaABAg.9kK16zj6zI59kLX2fp_QoT,UgyDxG7F4nycJg10AJt4AaABAg,What temperature do you soap at? I try to not over mix in the beginning and mix my color with with a whisk. And add my fragrance to each container instead of all at once. As long as the fragrance behaves. It should stay fluid :)
16,UgxYFtma8j4m82v49U14AaABAg,qm-BlHAPS_8,"I am living in  Gwagwalada, Abuja.  I will  appreciate if you can help me to get them  or direct me to  where I can get them  I.e  the mould,cutters and the silicon  moulds.Thank  you in anticipation  for your  favourable  response."
17,UgxYFtma8j4m82v49U14AaABAg.9kDer1DzWc39kDtTh4BFP9,UgxYFtma8j4m82v49U14AaABAg,I have it all linked in the description box :)
18,UgxhwPMv1Ki7dgtFdqV4AaABAg,qm-BlHAPS_8,"Please, how can l get this cutters  you are using  and the moulds and your silicon  mould."
19,Ugyn6DprOw3KZIbsbLF4AaABAg,qm-BlHAPS_8,"Ciaoooo, il tuo sapone è  stupendo! Complimenti!"
20,UgyhHLp-7MzAYtaeGl94AaABAg,qm-BlHAPS_8,Beautiful. After how many minutes you poured the second layer?
21,UgyhHLp-7MzAYtaeGl94AaABAg.9jjr6ZTGP-Z9jk2e3deRr_,UgyhHLp-7MzAYtaeGl94AaABAg,Between 5-20. Depending on how much I was able to blend it. The more I get to blend the more set up it will be :)
22,Ugy0gXcoKZPVkRoNjBt4AaABAg,qm-BlHAPS_8,Absolutely beautiful  emoji_smiling_face_with_heart-eyes   emoji_star-struck   emoji_OK_hand   emoji_red_heart   emoji_heart_suit 
23,UgyxQh9KXCUeDzfHdQV4AaABAg,qm-BlHAPS_8,Absolutely beautiful  emoji_smiling_face_with_heart-eyes   emoji_star-struck   emoji_OK_hand   emoji_red_heart   emoji_heart_suit 
24,UgwiNdLV8bro3a8AJUZ4AaABAg,qm-BlHAPS_8,Масло и щелоч разных температур? Получается от того что щелочь горячая она растворила масла?
