,id,Recipient (video or comment),comment
1,UgynhNJ3CMh79BsboZZ4AaABAg,e4VU8onoc9E,I love your video!! Thank you so much for sharing your recipe!! Blessings from Kentucky  emoji_raising_hands_light_skin_tone  emoji_butterfly  emoji_smiling_face_with_open_hands 
2,UgwBdm8BPzUs4xRc_nd4AaABAg,e4VU8onoc9E,Can I substitute mango for shea
3,UgygbLYhD051KfEpcxR4AaABAg,e4VU8onoc9E,What makes a soap tear free?
4,UgwRkSdw5sU0tawUDkV4AaABAg,e4VU8onoc9E,"oh my goodness! :) thank you so much, I am getting all the ingredients together I don't have at home , I am new to cold pressed soap making and I really appreciate the recipe. Can't wait to make it! yay .. Happy soaping :)"
5,UgwYrt-4wk2ZJdohlbN4AaABAg,e4VU8onoc9E,I just really enjoy your personality lol it's very blunt !!
6,Ugx5ZAtmZz74n_0Fmrp4AaABAg,e4VU8onoc9E,thank you! using caster oil in my next batch :)
7,UgxStn4piyR5zP6fGAh4AaABAg,e4VU8onoc9E,Great video. I learned so much here!!
8,UgyBj2WcUMq5JcUKZzJ4AaABAg,e4VU8onoc9E,Can you do a honey and turmeric soap please
9,UgwMKVMeBQi1Ko8fPLN4AaABAg,e4VU8onoc9E,What temp should be maintained when we add melted shea butter in oils n lye solution ? My batter thickened when I added shea butter in oils n lye solution.  Pls suggest me the temp. What could be the reason for hardening before  using the blender .
10,Ugw7RplDOHyNblbO5xV4AaABAg,e4VU8onoc9E,Can you use the goat's mild step in this recipe?
11,Ugy2sP7HFj_EIgvnfdJ4AaABAg,e4VU8onoc9E,Hi thanks for this recipe and video. What would you recommend using to replace Palm oil? Thanks alot
12,UgwSnFzVQVBlFvAbI6Z4AaABAg,e4VU8onoc9E,Is castile oil the same as castor???
13,UgxWg7HyLxbwPnVOtLt4AaABAg,e4VU8onoc9E,Can I add turmeric to this recipe ?
14,Ugy6Zmr8Dy1OHujhmEp4AaABAg,e4VU8onoc9E,Great video! You do an excellent job of explaining the step-by-step process of making soap.  Hope to give your recipe and instructions a try very soon.  Blessings!
15,Ugw2cGgSq0evS0WvuSF4AaABAg,e4VU8onoc9E,I have been watching your videos now for a week or two an just found this one . Wow I think it would be a great one because everyone in our family needs the moisture soap . My question is a own a Bee farm an I was trying to find something that I could use my wax in an also the Honey in it for the scent. Could that work for this Recipe by just adding it or should something be taken out to add the wax for the hardening product . The video’s that I have watched of yours I can tell you have put a lot of very deep time an thought into everything you do . Thank you very much for all the help you give to us all . THANKS
16,UgyAhY447WaYKWfIYwd4AaABAg,e4VU8onoc9E,"Hi, Katie! I would like to know what kind of color you use for your soap recipe. Thanks!"
17,Ugx5uzyGEzLtCWdhyPZ4AaABAg,e4VU8onoc9E,"I used to make soap awhile back and im thinking about getting back into it. I wanted to try some of the more fancy looking bars, could you do a video where you add different things to the soaps and what molds you use and your process making like a bar with other shapes inside of it or like the whip on top with the squares of soap like a decorative aspect. I really am looking for some insight on the more advanced stuff with the style of bars. My aunt only showed me the basics and id like to learn more creative ways to make soaps."
18,UgyvQOlXLFg9CMI5Kbd4AaABAg,e4VU8onoc9E,Im going to try this soap looks awsome but this lye stuff can you get it at walmart  or is it something special for soap. thanks
19,Ugz1z7by8vzG5L7j-7Z4AaABAg,e4VU8onoc9E,"Thank you, I've been wanting to do this for years."
20,Ugzcitl1r7gPzMPGqmN4AaABAg,e4VU8onoc9E,Love this recipe!! Any suggestions on how to make the bars a little harder? I don’t want to mess up this wonderful recipe emoji_crying_face 
21,UgzDoxafILvg1eElLw14AaABAg,e4VU8onoc9E,"Maybe you could not encourage use of palm oil in regards to the orangutans in Borneo? Otherwise, it’s a great recipe, thanks"
22,UgzFfLsyThb3Be9CHVV4AaABAg,e4VU8onoc9E,Thanks so much
23,UgzSwCPcaVjMt6GQjZx4AaABAg,e4VU8onoc9E,How about if ill use one kind of oil only
24,UgwjWZ8LI87pIQaHnct4AaABAg,e4VU8onoc9E,Hi love ! Thanks so much for sharing your recipe and experience and wisdom ! ^_^ I was wondering _ when you said you Put it in the oven __ do I turn the oven on ? And bake it ? Or Jade u just placing it in there for safe keeping ?
25,UgxFMjkU8t81bmh1ek54AaABAg,e4VU8onoc9E,hey is there an alternative for the palm oil ? thanks
26,UgxqMLZKYAs3d8j2oTZ4AaABAg,e4VU8onoc9E,Should the water that you add the lye to be boiling hot?
27,UgxqMLZKYAs3d8j2oTZ4AaABAg.9fp-kk1skGm9frLfcSDuh9,UgxqMLZKYAs3d8j2oTZ4AaABAg,@Heart's Content Farmhouse Thanks a bunch for clearing that up!
28,UgxqMLZKYAs3d8j2oTZ4AaABAg.9fp-kk1skGm9frDHBuDHVx,UgxqMLZKYAs3d8j2oTZ4AaABAg,no definitely not!.  it should be room temperature.  it will be heat up as the lye hits it (chemical reaction)
29,Ugy22elwf6o5eDc55ip4AaABAg,e4VU8onoc9E,Do you reuse stick blender and pots that you use for soap making for food again? Thank you
30,Ugza53PslStVilJ69sh4AaABAg,e4VU8onoc9E,Can I omit or replace palm oil?
31,UgweRzOJyjamqgL24Rh4AaABAg,e4VU8onoc9E,Thank you so much for this recipe. I have made it several times now and it is by far my favorite.
32,UgyoJ44ep2r9dn-7oTh4AaABAg,e4VU8onoc9E,HOW DO I STORE THE COLD PRESS SOAP. IN A DRY COOL PLACE OR A ROOM TEMP DRY PLACE WHILE WAITING TO CURE? THANKS
33,UgxHBTYfEozxeFxCY1B4AaABAg,e4VU8onoc9E,Can I use Shea butter instead of mango butter ?
34,UgxHBTYfEozxeFxCY1B4AaABAg.9fFNW3ei0k19fH5yqezGze,UgxHBTYfEozxeFxCY1B4AaABAg,yes that's a great swap!
35,UgxEyG5CqNcal2HIn6Z4AaABAg,e4VU8onoc9E,Does the Lye get deactivated?  What if you got soap in your eyes?  Sorry I'm new and not knowledgeable on this subject :)
36,UgxBrhWD1ea7_O8vgzt4AaABAg,e4VU8onoc9E,How much fragrance oil did you add to this recipe?
37,UgxANBsU13xwB5qskW54AaABAg,e4VU8onoc9E,Thank you! :)
38,Ugyfi9nUUWf5UZf5btJ4AaABAg,e4VU8onoc9E,Stop  gibberin and get to it.
39,Ugx0DUbAG8T2kEd9q-l4AaABAg,e4VU8onoc9E,Can you sub goat milk for water? :) (new to soap making)
